lot_id	site_id	match_id	collection_site	latitude	longitude	barangay	local_government_unit	province	region	island_group	notes
138650	Gal	PGal	Port_Galera	13.5147982	120.9540577	NA	Puerto Galera	Oriental Mindoro	MIMAROPA	Luzon	"location info from Albatross collection site google map (Malin 2026-04-08). Lot is not listed in the google map, but the location name associated in the lot sheet matches the google map site."
138704	Dup	Dupo	Dupon_Bay	10.931896	124.426504	Monte Alegre	Isabel	Leyte	Eastern Visayas	Visayas	NA
138826	Pnd	Pand	Pandanon_Id	10.1796678	124.090001	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
138831	Pnd	Pand	Pandanon_Id	10.295031	123.9126	NA	Cebu City	Cebu	Central Visayas	Visayas	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
138933	Jol	Jolo	Tutu_Bay	6.1098091	120.977508	NA	Hadji Panglima Tahil	Sulu	BARMM	Mindanao	NA
138934	Sur	Suri	NA	9.8011514	125.488763	NA	Surigao City	Surigao del Norte	Caraga	Mindanao	NA
138936	Pal	Samr	Port_Palapag	12.6347634	125.00979	NA	Salvacion	Northern Samar	Eastern Visayas	Visayas	Port Palapag
138964	Ina	Dapi	NA	8.6072026	123.726262	Eastern Looc	Plaridel	Misamis Occidental	Northern Mindanao	Mindanao	NA
138965	Tum	Tumi	Tumindao	4.8374273	119.817665	NA	Simunul	Tawi-tawi	BARMM	Mindanao	NA
138966	Mat	MatB	Matnog_Bay	12.6664671	123.87085	NA	Bulan	Sorsogon	Bicol	Luzon	Bulan Fish Port
138967	Bul	Jolo	Bulan_Island	6.1098091	120.977508	NA	Hadji Panglima Tahil	Sulu	BARMM	Mindanao	NA
138982	Mar	PMar	Port_Maricaban	13.6791984	120.840502	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
138999	Jol	Jolo	NA	5.9249685	121.211343	NA	Panglima Estino	Sulu	BARMM	Mindanao	NA
139012	Mvi	Masi	Port_Matalvi_reef	15.5567299	119.930361	NA	Masinloc	Zambales	Central Luzon	Luzon	Oyon Bay
139013	Rom	Romb	NA	12.5789662	122.2676674	Capaclan	Romblon	Romblon	MIMAROPA	Luzon	location info from Albatross collection site google map (Malin 2026-04-08)
139635	Lin	Lina	Malcochin_Harbor	11.4906669	119.828165	NA	Linapacan	Palawan	MIMAROPA	Luzon	North Bay
139636	Bas	SMig	Basud_River	13.9140731	123.258362	NA	Siruma	Camarines Sur	Bicol	Luzon	NA
143288	Ham	HamC	Hamilo_Cove	14.1779794	120.599424	NA	Nasugbu	Batangas	CALABARZON	Luzon	Hamilo Cove
145189	Gal	PGal	Varadero_Bay	13.4964937	120.9578848	NA	Puerto Galera	Oriental Mindoro	MIMAROPA	Luzon	location info from Albatross collection site google map (Malin 2026-04-08)
149153	Rom	Romb	NA	12.5789662	122.2676674	Capaclan	Romblon	Romblon	MIMAROPA	Luzon	location info from Albatross collection site google map (Malin 2026-04-08)
150605	Lin	Lina	Malcochin_Harbor	11.4906669	119.828165	NA	Linapacan	Palawan	MIMAROPA	Luzon	North Bay
150772	Sac	Basi	"Sacol_Island, Tawi-Tawi_North"	6.6888764	122.16557	NA	Lamitan City	Basilan	BARMM	Mindanao	NA
153965	Bas	Daet	Basud_River	14.2897039	122.815167	NA	Paracale	Camarines Norte	Bicol	Luzon	NA
153966	Mac	Daet	Maculabo_Id	14.2897039	122.815167	NA	Paracale	Camarines Norte	Bicol	Luzon	NA
159904	Pnd	Pand	Pandanon_Id	10.1796678	124.090001	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
161008	Rag	RagR	Ragay_River	13.5069074	123.042625	Santa Rosa del Sur	Pasacao	Camarines Sur	Bicol	Luzon	NA
171202	Can	CanB	Canmahala_Bay	13.2195058	123.041741	NA	San Pascual	Masbate	Bicol	Luzon	Anima Sola Island
171206	Ceb	Pand	Cebu_Market	10.2950309	123.912569	NA	Cebu City	Cebu	Central Visayas	Visayas	Cebu Baseport Area
171207	Bur	CanB	Port_Busin	13.0911153	122.951328	NA	San Pascual	Masbate	Bicol	Luzon	Alimango Bay
171321	Bol	Mala	NA	10.9230731	119.249382	Liminangcong	Taytay	Palawan	Southern Tagalog	Luzon	Bahia de Bolalo
171322	Mvi	Masi	Port_Matalvi_reef_Masinloc	15.5567299	119.930361	NA	Masinloc	Zambales	Central Luzon	Luzon	Oyon Bay
171348	Mta	Boho	Mantatao_Id	9.9396692	123.869166	NA	Calape	Bohol	Central Visayas	Visayas	Mantatao Reef
171528	Bir	Bali	Biri_Channel	12.6218848	124.396526	NA	Biri	Northern Samar	Eastern Visayas	Visayas	NA
171531	Rom	Romb	Romblon_Harbor	12.5789662	122.2676674	Capaclan	Romblon	Romblon	MIMAROPA	Luzon	location info from Albatross collection site google map (Malin 2026-04-08)
171533	Bir	Bali	Biri_Channel	12.6218848	124.396526	NA	Biri	Northern Samar	Eastern Visayas	Visayas	NA
171534	Taw	Tawi	Simaluc_Id_Tawi_Tawi	5.0345263	119.744525	Pahut	Bongao	Tawi-tawi	BARMM	Mindanao	NA
171543	Bir	Bali	Biri_Channel	12.6218848	124.396526	NA	Biri	Northern Samar	Eastern Visayas	Visayas	NA
